subject_id,object_id,subject_id_prefix,object_id_prefix,subject_name,object_name,predicate,Primary_Knowledge_Source,Knowledge_Source,publications,subject_category,object_category
200316,Q8IUX4,NCBIGene,UNIPROT,APOBEC3F,ABC3F_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
60489,Q9HC16,NCBIGene,UNIPROT,APOBEC3G,ABC3G_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
164668,Q6NTF7,NCBIGene,UNIPROT,APOBEC3H,ABC3H_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
19,O95477,NCBIGene,UNIPROT,ABCA1,ABCA1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
20,Q9BZC7,NCBIGene,UNIPROT,ABCA2,ABCA2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
21,Q99758,NCBIGene,UNIPROT,ABCA3,ABCA3_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
24,P78363,NCBIGene,UNIPROT,ABCA4,ABCA4_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
23461,Q8WWZ7,NCBIGene,UNIPROT,ABCA5,ABCA5_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
23460,Q8N139,NCBIGene,UNIPROT,ABCA6,ABCA6_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
10347,Q8IZY2,NCBIGene,UNIPROT,ABCA7,ABCA7_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
10351,O94911,NCBIGene,UNIPROT,ABCA8,ABCA8_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
10350,Q8IUA7,NCBIGene,UNIPROT,ABCA9,ABCA9_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
10349,Q8WWZ4,NCBIGene,UNIPROT,ABCA10,ABCAA_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
26154,Q86UK0,NCBIGene,UNIPROT,ABCA12,ABCAC_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
154664,Q86UQ4,NCBIGene,UNIPROT,ABCA13,ABCAD_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
340273,Q2M3G0,NCBIGene,UNIPROT,ABCB5,ABCB5_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
10058,Q9NP58,NCBIGene,UNIPROT,ABCB6,ABCB6_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
22,O75027,NCBIGene,UNIPROT,ABCB7,ABCB7_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
23457,Q9NP78,NCBIGene,UNIPROT,ABCB9,ABCB9_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
23456,Q9NRK6,NCBIGene,UNIPROT,ABCB10,ABCBA_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
8647,O95342,NCBIGene,UNIPROT,ABCB11,ABCBB_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
6833,Q09428,NCBIGene,UNIPROT,ABCC8,ABCC8_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
10060,O60706,NCBIGene,UNIPROT,ABCC9,ABCC9_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
215,P33897,NCBIGene,UNIPROT,ABCD1,ABCD1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
225,Q9UBJ2,NCBIGene,UNIPROT,ABCD2,ABCD2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5825,P28288,NCBIGene,UNIPROT,ABCD3,ABCD3_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5826,O14678,NCBIGene,UNIPROT,ABCD4,ABCD4_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
6059,P61221,NCBIGene,UNIPROT,ABCE1,ABCE1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
23,Q8NE71,NCBIGene,UNIPROT,ABCF1,ABCF1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
10061,Q9UG63,NCBIGene,UNIPROT,ABCF2,ABCF2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
