index,name,uniprot,gene_name,outlier_frequency_in_diabetes,outlier_frequency_in_pre_diab
CVD2_Q9Y6Q6,CVD2_Q9Y6Q6,Q9Y6Q6,TNFRSF11A,0.15966386554621848,0.08602150537634409
CVD3_NT-proBNP,CVD3_NT-proBNP,NT-proBNP,NT-proBNP,0.04201680672268908,0.03225806451612903
CVD3_O00175,CVD3_O00175,O00175,CCL24,0.0,0.03225806451612903
CVD3_O00300,CVD3_O00300,O00300,TNFRSF11B,0.13445378151260504,0.06451612903225806
CVD3_O14798,CVD3_O14798,O14798,TNFRSF10C,0.0,0.010752688172043012
CVD3_O15467,CVD3_O15467,O15467,CCL16,0.008403361344537815,0.0967741935483871
CVD3_O75594,CVD3_O75594,O75594,PGLYRP1,0.008403361344537815,0.010752688172043012
CVD3_O95998,CVD3_O95998,O95998,IL18BP,0.07563025210084033,0.053763440860215055
CVD3_P00533,CVD3_P00533,P00533,EGFR,0.04201680672268908,0.010752688172043012
CVD3_P00749,CVD3_P00749,P00749,PLAU,0.01680672268907563,0.053763440860215055
CVD3_P00750,CVD3_P00750,P00750,PLAT,0.15126050420168066,0.1827956989247312
CVD3_P01130,CVD3_P01130,P01130,LDLR,0.09243697478991597,0.043010752688172046
CVD3_P01589,CVD3_P01589,P01589,IL2RA,0.04201680672268908,0.03225806451612903
CVD3_P02144,CVD3_P02144,P02144,MB,0.025210084033613446,0.06451612903225806
CVD3_P02452,CVD3_P02452,P02452,COL1A1,0.008403361344537815,0.0
CVD3_P02786,CVD3_P02786,P02786,TFRC,0.03361344537815126,0.010752688172043012
CVD3_P04080,CVD3_P04080,P04080,CSTB,0.04201680672268908,0.07526881720430108
CVD3_P04085,CVD3_P04085,P04085,PDGFA,0.01680672268907563,0.021505376344086023
CVD3_P04275,CVD3_P04275,P04275,VWF,0.05042016806722689,0.043010752688172046
CVD3_P05107,CVD3_P05107,P05107,ITGB2,0.10084033613445378,0.03225806451612903
CVD3_P05121,CVD3_P05121,P05121,SERPINE1,0.03361344537815126,0.03225806451612903
CVD3_P05164,CVD3_P05164,P05164,MPO,0.10084033613445378,0.053763440860215055
CVD3_P07339,CVD3_P07339,P07339,CTSD,0.24369747899159663,0.13978494623655913
CVD3_P08253,CVD3_P08253,P08253,MMP2,0.025210084033613446,0.0
CVD3_P08254,CVD3_P08254,P08254,MMP3,0.008403361344537815,0.010752688172043012
CVD3_P08833,CVD3_P08833,P08833,IGFBP1,0.04201680672268908,0.010752688172043012
CVD3_P08887,CVD3_P08887,P08887,IL6R,0.008403361344537815,0.0
CVD3_P10451,CVD3_P10451,P10451,SPP1,0.01680672268907563,0.0
CVD3_P10646,CVD3_P10646,P10646,TFPI,0.01680672268907563,0.043010752688172046
CVD3_P13500,CVD3_P13500,P13500,CCL2,0.04201680672268908,0.06451612903225806
CVD3_P13598,CVD3_P13598,P13598,ICAM2,0.025210084033613446,0.010752688172043012
CVD3_P13686,CVD3_P13686,P13686,ACP5,0.058823529411764705,0.043010752688172046
CVD3_P14778,CVD3_P14778,P14778,IL1R1,0.10084033613445378,0.021505376344086023
CVD3_P14780,CVD3_P14780,P14780,MMP9,0.09243697478991597,0.010752688172043012
CVD3_P15085,CVD3_P15085,P15085,CPA1,0.04201680672268908,0.021505376344086023
CVD3_P15086,CVD3_P15086,P15086,CPB1,0.025210084033613446,0.043010752688172046
CVD3_P15090,CVD3_P15090,P15090,FABP4,0.08403361344537816,0.06451612903225806
CVD3_P15144,CVD3_P15144,P15144,ANPEP,0.04201680672268908,0.021505376344086023
CVD3_P16109,CVD3_P16109,P16109,SELP,0.025210084033613446,0.010752688172043012
CVD3_P16284,CVD3_P16284,P16284,PECAM1,0.05042016806722689,0.06451612903225806
CVD3_P16422,CVD3_P16422,P16422,EPCAM,0.01680672268907563,0.010752688172043012
CVD3_P16581,CVD3_P16581,P16581,SELE,0.16806722689075632,0.08602150537634409
CVD3_P17931,CVD3_P17931,P17931,LGALS3,0.06722689075630252,0.053763440860215055
CVD3_P18065,CVD3_P18065,P18065,IGFBP2,0.0,0.010752688172043012
CVD3_P19438,CVD3_P19438,P19438,TNFRSF1A,0.13445378151260504,0.0967741935483871
CVD3_P19957,CVD3_P19957,P19957,PI3,0.09243697478991597,0.08602150537634409
CVD3_P20160,CVD3_P20160,P20160,AZU1,0.0,0.0
CVD3_P20333,CVD3_P20333,P20333,TNFRSF1B,0.1092436974789916,0.06451612903225806
CVD3_P24158,CVD3_P24158,P24158,PRTN3,0.10084033613445378,0.043010752688172046
CVD3_P25445,CVD3_P25445,P25445,FAS,0.04201680672268908,0.06451612903225806
CVD3_P27930,CVD3_P27930,P27930,IL1R2,0.10084033613445378,0.021505376344086023
CVD3_P28799,CVD3_P28799,P28799,GRN,0.06722689075630252,0.043010752688172046
CVD3_P30530,CVD3_P30530,P30530,AXL,0.03361344537815126,0.021505376344086023
CVD3_P33151,CVD3_P33151,P33151,CDH5,0.05042016806722689,0.03225806451612903
CVD3_P35247,CVD3_P35247,P35247,SFTPD,0.008403361344537815,0.010752688172043012
CVD3_P36222,CVD3_P36222,P36222,CHI3L1,0.17647058823529413,0.053763440860215055
CVD3_P36941,CVD3_P36941,P36941,LTBR,0.04201680672268908,0.043010752688172046
